CompID,Country,FeatureA,FeatureB,FeatureC,Kind,Points Reward,FeatureD,SecretCode,SubmissionLimitPerDay,FeatureE,CompEndTime Year,CompEndTime Month,CompEndTime Day_of_week,CompStartTime Year,CompStartTime Month,CompStartTime Day_of_week
ID_WGZ2,ID_HWRH,[1],[14],1.0,1,27,1,0,100.0,[1],1,8.0,7.0,1,6,5
ID_G370,,[1],[],2.0,1,52,2,0,10.0,[1],4,1.0,6.0,3,12,7
ID_R5HL,,[1],[],3.0,1,126,2,0,10.0,[1],4,1.0,6.0,3,10,4
ID_Y6XI,ID_ARVG,[1],[],4.0,1,52,2,0,10.0,[1],4,1.0,6.0,3,11,4
ID_8PEN,ID_I1L9,[1],[],5.0,0,2,2,0,200.0,[1],2,11.0,6.0,2,11,4
ID_F23U,ID_FC41,[1],[],3.0,0,52,3,1,15.0,[1],4,2.0,3.0,4,2,3
ID_GOXL,ID_I1L9,"[2, 3]",[],6.0,1,2,3,0,30.0,[2],not mapped,,,3,1,4
ID_88GO,ID_GU74,[1],[],5.0,1,2,3,0,30.0,[1],not mapped,,,3,1,4
ID_HTKR,ID_CKI7,"[3, 2]",[],6.0,1,2,3,0,30.0,[2],not mapped,,,3,2,3
ID_ABBZ,ID_I1L9,[4],[14],1.0,1,102,1,0,30.0,"[2, 3]",3,6.0,6.0,3,3,4
ID_ASHZ,ID_K86O,[4],[14],1.0,0,2,2,1,10.0,"[3, 2]",4,1.0,1.0,3,11,4
ID_LXXE,ID_I1L9,[1],[12],4.0,0,2,3,1,10.0,[1],4,2.0,7.0,3,12,4
ID_I52W,ID_GU74,"[3, 2]",[14],7.0,0,2,3,1,20.0,[2],3,5.0,6.0,3,2,3
ID_TKJJ,ID_K86O,[1],[],8.0,0,2,2,1,20.0,[2],3,9.0,6.0,3,9,4
ID_57TX,ID_CXB1,[1],[],9.0,0,2,2,1,20.0,[1],3,10.0,6.0,3,10,5
ID_ZBPQ,ID_I1L9,[],[14],1.0,1,151,1,0,20.0,[4],3,12.0,7.0,3,1,7
ID_SNXY,,[5],[15],10.0,1,500,2,0,10.0,[1],4,2.0,6.0,3,10,4
ID_GTIV,ID_I1L9,"[1, 6]",[],,1,102,1,0,10.0,[1],4,3.0,6.0,3,11,4
ID_P8IG,ID_CXB1,[1],[],8.0,1,2,3,0,30.0,[2],not mapped,,,2,4,4
ID_GQCR,ID_I1L9,[1],[9],2.0,0,2,2,1,100.0,[1],3,10.0,6.0,3,10,5
ID_BQO2,ID_5OWN,[1],[],2.0,0,2,3,1,30.0,[1],4,1.0,4.0,3,12,6
ID_4FPW,ID_XX6B,[1],[9],2.0,0,2,2,1,3.0,"[1, 5]",4,4.0,4.0,4,3,5
ID_664W,,"[2, 3]",[],,1,102,2,0,10.0,[6],3,12.0,6.0,3,7,4
ID_GCU7,ID_5OWN,[1],[],11.0,1,2,3,0,30.0,[1],not mapped,,,2,6,1
ID_5B6Q,ID_GU74,[5],[15],,0,2,2,0,200.0,[7],4,2.0,6.0,4,2,4
ID_JIF0,ID_GU74,"[1, 6]",[],12.0,0,2,3,1,20.0,[1],3,10.0,1.0,3,4,7
ID_LMFN,ID_5OWN,[1],[],6.0,1,2,3,0,30.0,[1],not mapped,,,1,5,3
ID_G31W,,"[2, 7]",[],9.0,1,102,1,0,30.0,[2],2,11.0,7.0,2,8,3
ID_HJ9S,ID_CXB1,[1],[],13.0,1,2,3,0,30.0,[1],not mapped,,,2,4,4
ID_RSV3,ID_CXB1,"[4, 2]",[],14.0,1,2,3,0,30.0,[3],not mapped,,,2,4,4
ID_R4NQ,ID_I1L9,[1],[12],4.0,0,2,2,0,100.0,[1],3,11.0,5.0,3,11,5
ID_SW6X,ID_RAZW,"[3, 7]",[],13.0,1,102,2,0,10.0,[8],3,12.0,6.0,3,9,4
ID_5HIG,ID_ZXLV,[],[],,0,2,2,0,50.0,[],4,2.0,4.0,4,1,2
ID_1FDX,ID_CKI7,[1],[],2.0,0,2,2,1,50.0,[1],4,1.0,2.0,4,1,7
ID_JQS3,ID_U4GT,[1],[],2.0,0,2,3,1,20.0,"[1, 5]",3,12.0,6.0,3,12,5
ID_92AG,,[2],[],6.0,1,77,2,0,5.0,[9],4,2.0,4.0,3,12,3
ID_3HST,ID_5OWN,"[2, 3]",[],,1,102,2,0,10.0,[6],3,12.0,6.0,3,7,4
ID_BT9Z,ID_HWRH,[1],[],13.0,1,599,2,0,30.0,[1],1,8.0,7.0,1,4,3
ID_18R6,ID_I1L9,[1],[10],,0,2,2,0,50.0,[1],4,1.0,6.0,4,1,4
ID_3HLK,ID_ARVG,"[2, 4]",[14],15.0,0,2,2,1,15.0,[3],4,2.0,3.0,4,2,3
ID_UIC7,ID_GU74,"[5, 4, 2]",[15],10.0,1,550,2,0,30.0,[2],2,4.0,7.0,1,10,7
ID_CKLY,ID_I1L9,"[1, 6]",[],,0,2,2,1,10.0,[1],3,11.0,7.0,3,8,7
ID_4DT4,ID_HWRH,"[1, 6]",[],16.0,1,301,2,0,10.0,[1],3,8.0,6.0,3,4,3
ID_JYR6,,[2],[15],10.0,1,251,2,0,30.0,[3],2,10.0,6.0,2,8,2
ID_0HHR,ID_HIN5,[1],[14],1.0,1,2,2,0,100.0,[1],3,3.0,6.0,3,2,7
ID_TLNA,,"[2, 4]",[7],9.0,1,2,3,0,30.0,"[3, 5]",not mapped,,,2,3,4
ID_YXS6,,[3],[12],4.0,0,2,2,0,50.0,[2],4,3.0,6.0,4,3,4
ID_AWEI,ID_HWRH,"[1, 6]",[],12.0,1,350,2,0,30.0,"[1, 5]",2,6.0,1.0,2,3,4
ID_50Y5,ID_CXB1,[],[],,0,2,2,1,15.0,[],4,2.0,2.0,4,2,2
ID_F53H,ID_HWRH,"[3, 2]",[14],1.0,1,211,2,0,30.0,[2],3,2.0,6.0,2,11,6
ID_QXRY,,[1],[14],1.0,1,251,2,0,30.0,[7],2,11.0,6.0,2,10,4
ID_TL9O,ID_P0A0,[2],[],17.0,1,102,1,0,30.0,[2],2,9.0,7.0,2,5,4
ID_AXVN,ID_GU74,[1],"[12, 16]",,1,251,2,0,30.0,"[1, 5]",2,9.0,7.0,2,6,7
ID_VNW7,,[3],[12],4.0,1,102,1,0,10.0,[2],4,6.0,6.0,4,3,7
ID_VS6D,ID_CXB1,"[2, 3]",[],6.0,1,102,2,0,10.0,"[2, 1]",3,10.0,6.0,3,6,4
ID_H4L8,ID_60OO,"[1, 4, 5]","[5, 7]",,1,500,2,0,30.0,[7],2,12.0,6.0,2,7,7
ID_TIK1,ID_5OWN,[1],[],11.0,0,2,3,1,100.0,[1],3,1.0,3.0,3,1,3
ID_3G07,ID_HWRH,"[5, 2]",[15],10.0,1,251,2,0,200.0,[3],2,10.0,6.0,2,9,7
ID_V5M1,ID_HWRH,[1],"[5, 6]",9.0,1,102,1,0,30.0,[7],2,10.0,7.0,2,6,4
ID_HZ45,ID_I1L9,[2],[],18.0,0,2,2,1,100.0,[],3,10.0,6.0,3,10,5
ID_OBP1,ID_NVM2,[4],[15],10.0,1,151,2,0,10.0,"[3, 1]",3,5.0,6.0,3,3,4
ID_WIA6,,[],[],19.0,1,2,2,0,4.0,[10],3,12.0,6.0,3,10,1
ID_QCN2,ID_GU74,[5],[16],5.0,0,2,2,0,30.0,[3],3,1.0,6.0,3,1,4
ID_LQ4P,ID_CXB1,[1],[],20.0,0,2,2,1,50.0,[1],3,11.0,5.0,3,11,4
ID_GI2A,ID_HWRH,"[2, 4, 5]",[15],10.0,1,151,2,0,10.0,"[1, 3]",3,9.0,6.0,3,5,2
ID_F0B5,,[1],[],18.0,1,102,2,0,10.0,[2],3,9.0,6.0,3,6,1
ID_VDSL,ID_I1L9,"[2, 4]",[14],15.0,1,2,3,0,30.0,[3],not mapped,,,2,12,4
ID_Y20Y,ID_5OWN,[1],[],2.0,0,2,3,1,30.0,[1],3,6.0,5.0,3,6,7
ID_T638,ID_ARVG,[1],[],2.0,1,226,2,0,30.0,[2],2,4.0,7.0,1,12,7
ID_S3FU,ID_5OWN,[1],[],21.0,0,2,3,1,30.0,[3],4,1.0,4.0,3,12,6
ID_O4PY,ID_GU74,"[6, 1]",[],22.0,0,2,2,1,100.0,[1],3,2.0,5.0,3,2,5
ID_VNN1,ID_CXB1,[1],[],5.0,1,2,3,0,30.0,[2],not mapped,,,2,4,4
ID_EZD0,ID_ARVG,[1],"[7, 5, 14]",15.0,0,2,2,0,,[1],3,11.0,4.0,3,11,3
ID_UWCU,ID_2GBE,"[4, 2]",[],,1,2,3,0,30.0,[3],not mapped,,,1,10,7
ID_3XEN,ID_ABPY,[1],[9],23.0,0,2,2,1,100.0,[1],3,5.0,5.0,3,5,5
ID_3JA7,ID_GU74,"[4, 2]",[],24.0,1,2,3,0,50.0,[3],not mapped,,,2,4,7
ID_58T1,ID_FC41,[1],[],25.0,0,2,2,1,100.0,[1],3,1.0,5.0,3,1,5
ID_ZSZR,ID_ABPY,[1],[],26.0,1,251,2,0,30.0,[1],3,4.0,6.0,3,2,2
ID_1E58,ID_60OO,"[3, 2]",[],6.0,1,102,2,0,10.0,[2],3,12.0,6.0,3,8,4
ID_IUTP,ID_CXB1,[2],[],2.0,1,2,3,0,30.0,[2],not mapped,,,2,4,4
ID_92VT,,"[2, 3]",[14],,1,52,2,0,30.0,[2],1,6.0,1.0,1,4,2
ID_DJJ7,ID_GU74,"[4, 7, 2]",[],27.0,1,151,2,0,30.0,[9],2,2.0,1.0,2,1,4
ID_1INW,ID_CKI7,[1],[],2.0,1,114,2,0,30.0,[1],2,2.0,7.0,1,10,1
ID_IV8G,ID_HWRH,[8],[14],1.0,1,102,1,0,30.0,[7],2,3.0,7.0,1,11,3
ID_1CBJ,ID_RAZW,"[1, 9]",[15],10.0,1,400,2,0,30.0,[7],2,5.0,7.0,2,2,7
ID_SIY6,,[],[14],1.0,1,2,3,0,,[4],2,3.0,4.0,2,3,6
ID_D0T1,,"[2, 10, 3]",[],28.0,1,301,2,0,4.0,[10],3,3.0,6.0,3,1,7
ID_XWMG,ID_DMRM,[1],[],29.0,1,151,2,0,5.0,[1],3,3.0,6.0,2,12,7
ID_QQTZ,,"[2, 3]",[],6.0,1,52,2,0,30.0,[1],1,6.0,7.0,1,4,1
ID_YZ4I,ID_HWRH,[1],"[6, 5]",9.0,1,99,2,0,30.0,[2],1,11.0,7.0,1,6,4
ID_81JW,ID_60OO,"[1, 5, 4]","[5, 7]",,1,251,2,0,10.0,[9],2,12.0,6.0,2,7,7
ID_SV8O,ID_I1L9,[1],[],21.0,0,2,2,1,200.0,[3],2,10.0,5.0,2,10,5
ID_DKSX,ID_I1L9,[1],[],2.0,0,2,2,1,200.0,[7],2,10.0,5.0,2,10,5
ID_7MLO,ID_I1L9,[1],[],30.0,0,2,2,1,200.0,[1],2,10.0,5.0,2,10,5
ID_U1HE,ID_ARVG,[1],"[14, 7]",28.0,1,251,2,0,10.0,[7],2,12.0,6.0,2,10,5
ID_TYYF,ID_ABPY,[1],[7],9.0,1,151,2,0,5.0,[9],3,1.0,6.0,2,11,3
ID_8WX8,ID_I1L9,[1],[],31.0,0,2,2,0,30.0,[1],2,12.0,6.0,2,12,4
ID_85VQ,ID_GU74,"[1, 6]",[],12.0,0,2,3,1,20.0,[1],3,4.0,7.0,2,12,7
ID_W0EJ,ID_5OWN,"[1, 6]",[],12.0,0,2,3,1,10.0,[1],2,12.0,5.0,2,12,5
ID_IAYS,ID_I1L9,[1],[7],4.0,0,2,2,0,200.0,[1],2,11.0,6.0,2,11,4
ID_KG1B,ID_2GBE,[1],[],32.0,0,2,3,1,50.0,[1],2,12.0,7.0,2,12,4
ID_50DK,ID_I1L9,"[2, 4]",[14],15.0,0,2,2,0,30.0,[3],2,11.0,6.0,2,11,4
ID_UBMS,ID_I1L9,"[3, 2]",[14],7.0,0,2,2,0,30.0,[2],2,11.0,6.0,2,11,4
ID_N932,ID_I1L9,"[2, 3]",[],6.0,0,2,2,0,30.0,[2],2,12.0,6.0,2,12,4
ID_FBDX,ID_I1L9,[1],[],29.0,0,2,2,0,,[1],2,12.0,6.0,2,12,4
ID_QY5J,ID_I1L9,[1],[],2.0,0,2,3,1,30.0,[1],3,3.0,2.0,3,1,4
ID_WMUF,ID_CKI7,"[3, 2]",[],6.0,0,2,2,0,30.0,[2],3,1.0,6.0,3,1,4
ID_CEI6,ID_RAZW,[1],[],25.0,0,2,2,1,100.0,[1],3,1.0,5.0,3,1,5
ID_FJ9G,ID_2GBE,[1],[],25.0,0,2,2,1,100.0,[1],3,1.0,5.0,3,1,5
ID_VAQG,ID_HWRH,"[1, 6]",[],12.0,0,2,3,1,10.0,[1],3,3.0,2.0,3,2,7
ID_PWC6,ID_ABPY,[1],[],9.0,0,2,3,0,50.0,[1],3,1.0,5.0,3,1,5
ID_GFDE,ID_5OWN,[1],[],25.0,0,2,3,1,10.0,[1],3,3.0,5.0,3,3,5
ID_C59X,ID_5OWN,[1],[],33.0,0,2,3,1,10.0,[1],3,3.0,5.0,3,3,5
ID_G7MQ,ID_HWRH,[8],[14],1.0,0,2,3,1,30.0,[7],3,3.0,2.0,3,3,1
ID_9E5U,ID_5OWN,[1],[],5.0,0,2,3,1,30.0,[2],3,2.0,4.0,3,2,4
ID_WL75,ID_5OWN,[1],[7],4.0,0,2,3,1,30.0,[1],3,2.0,6.0,3,2,2
ID_4QHA,ID_0NU5,"[6, 1]",[],22.0,0,2,2,1,100.0,[1],3,2.0,5.0,3,2,5
ID_OJUX,ID_CXB1,[1],[],8.0,0,2,3,1,30.0,[2],3,3.0,3.0,3,3,1
ID_MFQV,ID_CXB1,[1],[],5.0,0,2,2,1,50.0,[2],3,4.0,7.0,3,4,4
ID_MICX,ID_5OWN,[1],[],2.0,0,2,3,1,10.0,[1],3,5.0,5.0,3,4,2
ID_FAR8,ID_GU74,[1],[],11.0,0,2,2,1,100.0,[1],3,4.0,5.0,3,4,5
ID_0G47,ID_FC41,[1],[],25.0,0,2,3,1,100.0,[1],3,4.0,2.0,3,4,7
ID_VK18,ID_ARVG,"[7, 3, 2]",[15],10.0,1,350,2,0,5.0,[2],3,6.0,6.0,3,4,4
ID_09D8,ID_CXB1,"[2, 3]",[],34.0,0,2,2,1,100.0,[2],3,5.0,5.0,3,5,5
ID_Y5IP,ID_ACV0,"[1, 3]",[],6.0,0,2,2,1,100.0,[2],3,5.0,5.0,3,5,5
ID_4NVL,ID_2GBE,[1],[],9.0,0,2,3,1,100.0,[1],3,5.0,5.0,3,5,5
ID_8SY0,ID_FC41,[1],[],2.0,0,2,3,1,50.0,"[1, 5]",3,7.0,6.0,3,6,5
ID_BWI3,ID_CXB1,[1],[],2.0,0,2,2,1,65.0,[2],3,6.0,6.0,3,6,4
ID_XYJZ,ID_CKI7,[1],[],35.0,0,2,2,1,50.0,[1],3,7.0,7.0,3,7,5
ID_C748,ID_HIXK,[6],[],1.0,0,2,2,1,200.0,[1],3,7.0,5.0,3,7,4
ID_VEAR,ID_OS8P,[1],[],5.0,0,2,2,1,30.0,[1],3,7.0,6.0,3,7,5
ID_NPQM,ID_5OWN,[1],[],31.0,0,2,2,1,20.0,[1],3,7.0,4.0,3,7,7
ID_ON5E,,[3],[],6.0,0,2,2,1,50.0,[2],3,9.0,6.0,3,9,4
ID_SAZ4,ID_HWRH,[1],[],2.0,0,2,3,1,65.0,"[1, 5]",3,7.0,4.0,3,7,7
ID_TLNM,ID_CXB1,"[3, 2]",[],29.0,0,2,2,1,200.0,[2],3,7.0,6.0,3,7,5
ID_JAOW,ID_HWRH,[1],[],35.0,0,2,2,1,200.0,[1],3,7.0,6.0,3,7,5
ID_4BS1,ID_GU74,[5],[15],,1,440,2,0,50.0,[7],4,5.0,6.0,4,2,7
ID_PH4H,ID_HWRH,[4],"[5, 6]",9.0,1,2,3,0,10.0,[1],not mapped,,,3,5,4
ID_TICV,,[1],[],20.0,1,102,2,0,10.0,"[1, 5]",4,4.0,6.0,4,1,4
ID_GKAS,ID_RAZW,[1],[],36.0,0,2,2,1,3.0,[1],4,3.0,6.0,4,3,7
ID_U8CQ,,[1],[10],,1,251,2,0,10.0,[1],4,3.0,6.0,4,1,6
ID_CQ3W,ID_60OO,[1],[9],2.0,0,2,3,1,10.0,"[1, 5]",4,3.0,6.0,4,2,4
ID_2KEY,ID_GU74,[1],[],37.0,1,276,2,0,30.0,[1],2,9.0,7.0,2,5,4
ID_I5BX,ID_CKI7,[1],[],35.0,1,2,3,0,30.0,[1],not mapped,,,2,9,6
ID_B3I5,ID_GU74,[5],[15],,1,440,2,0,10.0,[7],4,5.0,6.0,4,2,7
ID_AB95,,[2],"[14, 8]",15.0,1,251,2,0,5.0,[9],4,3.0,6.0,3,12,4
ID_XNA0,ID_ARVG,[4],[15],,1,151,2,0,10.0,"[2, 3]",4,6.0,6.0,4,3,4
ID_J66M,ID_I1L9,[1],[7],4.0,1,2,3,0,200.0,"[1, 5]",not mapped,,,3,2,4
ID_G7A4,ID_I1L9,[1],[],36.0,0,2,2,1,100.0,[1],3,10.0,6.0,3,10,5
ID_F7X4,,[1],[],2.0,1,2,3,0,30.0,[1],not mapped,,,1,5,3
ID_E1LI,ID_I1L9,"[3, 2]",[14],7.0,1,2,3,0,50.0,[2],not mapped,,,3,2,3
ID_MPSN,,[1],[9],2.0,1,2,3,0,10.0,"[1, 5]",not mapped,,,2,2,7
ID_Z5QP,ID_5OWN,[1],[],31.0,0,2,2,1,,[1],3,6.0,5.0,3,6,5
ID_D42Y,ID_ARVG,[1],[],2.0,1,151,1,0,30.0,[1],2,7.0,7.0,2,3,4
